Region,Country,Item Type,Total Cost,Total Profit
Central America and the Caribbean,Haiti,Cosmetics,448977.65,296448.35
Sub-Saharan Africa,Rwanda,Cosmetics,1178928.41,778415.99
Sub-Saharan Africa,Gabon,Personal Care,490535.52,216919.36
Central America and the Caribbean,Belize,Clothes,197048.32,403773.12
Europe,Lithuania,Office Supplies,4350343.52,1046233.75
Sub-Saharan Africa,Madagascar,Clothes,263137.28,539196.48
Asia,Turkmenistan,Office Supplies,2630049.6,632512.5
Middle East and North Africa,Libya,Fruits,4657.16,1621.93
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,182506.39,89904.06
Sub-Saharan Africa,Djibouti,Cereal,1013704.16,766835.04
Middle East and North Africa,Pakistan,Cosmetics,2604860.36,1719922.04
North America,Mexico,Household,3494663.16,1152486.42
Australia and Oceania,Federated States of Micronesia,Beverages,298158.41,146875.14
Asia,Laos,Vegetables,339350.76,235601.16
Europe,Monaco,Baby Food,1373243.88,825738.04
Australia and Oceania,Samoa ,Cosmetics,2542187.82,1678540.98
Europe,Spain,Household,2267963.02,747939.49
Middle East and North Africa,Lebanon,Clothes,282562.56,579000.96
Middle East and North Africa,Iran,Cosmetics,1708748.37,1128242.43
Sub-Saharan Africa,Zambia,Snacks,398042.4,225246.9
Sub-Saharan Africa,Kenya,Vegetables,587135.01,407630.41
North America,Mexico,Personal Care,363934.74,160935.32
Sub-Saharan Africa,Sao Tome and Principe,Beverages,280673.91,138262.14
Sub-Saharan Africa,The Gambia,Baby Food,886215.78,532885.74
Middle East and North Africa,Kuwait,Fruits,3612.24,1258.02
Europe,Slovenia,Beverages,148141.4,72975.6
Sub-Saharan Africa,Sierra Leone,Office Supplies,497662.08,119685
Australia and Oceania,Australia,Beverages,298476.31,147031.74
Middle East and North Africa,Azerbaijan,Office Supplies,1060944.16,255151.25
Europe,Romania,Cosmetics,2082940.3,1375311.7
Central America and the Caribbean,Nicaragua,Beverages,259279.24,127722.96
Sub-Saharan Africa,Mali,Clothes,31825.92,65214.72
Asia,Malaysia,Fruits,43367.64,15103.47
Sub-Saharan Africa,Sierra Leone,Vegetables,135031.05,93748.05
North America,Mexico,Personal Care,326815.89,144521.02
Sub-Saharan Africa,Mozambique,Household,2697132.18,889472.91
